SOURCE: res.md

RESTAURANT: King Croissant
  CATEGORY: كعكة طرابلسية / Tripoli Kaak
    - Golden Chicken Potato | 3.89
    - Cheese Potato | 3.33
    - Chicken & BBQ Potato | 3.89
    - Chicken & Spicy Sauce Potato | 3.89
    - Boneless Chicken Meal (Musahab) | 7.78
    - Boneless Chicken Whole (Farrouj Musahab) | 13.33
    - Mixed Grill 1 Kilo | 13.89
    - Mixed Grill Half Kilo | 7.78
    - Half Chicken with Fries | 7.78
    - Makanek | 1.11
    - Sujuk | 1.11
    - Khashkhash | 1.11
    - Kafta | 1.11
    - Shqaf (Meat Chunks) | 1.11
    - Tawouk White | 1.11
    - Tawouk Red | 1.11
    - Sawda (Liver) | 1.11
    - Bayd (Testicles) | 1.11
    - Snasel (Spinal Cord) | 1.67
    - Nkha'at (Brains) | 1.67
    - Add Combo (Fries \+ Pepsi) | 2.22
    - Extra Potato | 0.56

RESTAURANT: Heartache

RESTAURANT: Sandwich Abou Afif

RESTAURANT: Shawarma Abul El Oud

SOURCE: rest2.md

RESTAURANT: Ramadan Juice
    - MANGO | 2 ~ 6.5 $
    - MANGO + STRAWBERRY | 2 ~ 6.5 $
    - LEMONADE + BASIL | 2 ~ 6.5 $
    - ROSE LEMONADE | 2 ~ 6.5 $
    - BANANA + STRAWBERRY | 2 ~ 6.5 $
    - ORANGE | 1.5 ~ 5.5 $
    - WATERMELON | 3.3 ~ 11 $
    - BLUEBERRY | 2 ~ 7 $
    - GUAVA | 2 ~ 6.5 $
    - BANANA + MILK | 2 ~ 6.5 $
    - BLUE LEMONADE | 2 ~ 6.5 $
    - POSITANO STRAWBERRY LEMONADE | POSITANO STRAWBERRY LEMONADE | 2.4 ~ 8 $
    - STRAWBERRY | 2 ~ 6 $
    - LEMONADE | 1.6 ~ 5.5 $
    - LEMONADE + MINT | 2 ~ 6.5 $
    - APPLE | 1.6 ~ 6 $
    - GRAPEFRUIT | 2 ~ 6.5 $
    - CARROT | 1.6 ~ 5.5 $
    - CARROT + ORANGE | 1.5 ~ 5.5 $
    - PASSION | 3.3 ~ 11 $
    - DRAGON | 3.3 ~ 11 $
    - GRAPE | 2.4 ~ 8 $
    - PEACH | 2.4 ~ 8 $
    - BEET | 2.4 ~ 8 $
    - GINGER | 5.5 ~ 20 $
    - JALLAB | 1.11 ~ 3.33 $
    - TAMR | 1.11 ~ 3.33 $
    - POMEGRANATE + ORANGE | 2.2 ~ 7.2 $
    - MIXED BERRIES | 3.3 ~ 11 $
    - POMEGRANATE | 2.5 ~ 8.5 $
    - PINEAPPLE | 3.3 ~ 11 $
    - SOUS | 0.55 ~ 2.22 $
    - MELON | 2.4 ~ 8 $
    - KIWI | 2.4 ~ 8 $
    - COCKTAIL | 1.6 ~ 6 $
    - THE MAGICAL | 2.7 ~ 10 $
    - OASIS | 2.4 ~ 8 $
    - REDTOX | REDTOX | 2.4 ~ 8 $
    - GREENTOX | GREENTOX | 2.4 ~ 8 $
    - PROTEIN FRESH JUICE | PROTEIN FRESH JUICE | 3.5 ~ 5 $
    - COCKTAIL LAYERS | 3.3 ~ 7.7 $
    - AVOCA | 5.5 ~ 13.8 $
    - COCKTAIL + ASHTA | 2.5 ~ 3.3 $
    - TAHITI | 4.5 ~ 5.5 $
    - AVOCA + COCKTAIL | 3.8 ~ 9.5 $
    - CHOCO AVOCA | 6 ~ 7.22 $
    - KATYOSHA | 10 $
    - SPECIAL EXOTIC | 9 $
    - AVOCA + FRUITS | 6 ~ 7 $
    - AVOCA EXTRA | 7 ~ 8 $
    - LOTU AVOCA | 6 ~ 7.22 $
    - SPECIAL NINJA | 15 $
    - FRUIT COCKTAIL | 5.5 ~ 6.5 $
    - PROTEIN SHAKE | PROTEIN SHAKE | 5.5 $
    - PROTEIN SHAKE PLUS | PROTEIN SHAKE PLUS | 6.5 $
    - DUBAI CUP | DUBAI CUP | 5 ~ 7 $
